api_class,operation,method,path,description,v1_domain_overlap,overlapping_v1_entities,v2_domain_hints
SubscriptionPlansApi,fetch_subscription_plan,GET,/rest/v2/products/{product_id}/subscriptions/{subscription_plan_id},Get Subscription Plan,yes,products|subscriptions,
SubscriptionPlansApi,list_subscription_plans,GET,/rest/v2/products/{product_id}/subscriptions,List Subscription Plans,yes,products|subscriptions,
SubscriptionsApi,get_subscription,GET,/rest/v2/subscriptions/{subscription_id},Retrieve a Subscription,yes,subscriptions,
SubscriptionsApi,list_subscriptions,GET,/rest/v2/subscriptions,List Subscriptions,yes,subscriptions,
SubscriptionsApi,retrieve_subscription_custom_field_model,GET,/rest/v2/subscriptions/model,Retrieve Subscription Custom Field Model,yes,custom_fields|subscriptions,
TagsApi,get_category,GET,/rest/v2/tags/categories/{tag_category_id},Retrieve a Tag Category,yes,tags,
TagsApi,get_tag,GET,/rest/v2/tags/{tag_id},Retrieve a Tag,yes,tags,
TagsApi,list_companies_for_tag_id,GET,/rest/v2/tags/{tag_id}/companies,List Tagged Companies,yes,tags,companies
TagsApi,list_contacts_with_tag_id,GET,/rest/v2/tags/{tag_id}/contacts,List Tagged Contacts,yes,contacts|tags,
TagsApi,list_tag_categories,GET,/rest/v2/tags/categories,List Tag Categories,yes,tags,
TagsApi,list_tags,GET,/rest/v2/tags,List Tags,yes,tags,
TaskApi,get_task,GET,/rest/v2/tasks/{task_id},Retrieve a Task,yes,tasks,
TaskApi,list_tasks,GET,/rest/v2/tasks,List Tasks,yes,tasks,
TaskApi,retrieve_task_model,GET,/rest/v2/tasks/model,Retrieve Task Model,yes,custom_fields|tasks,
UserGroupsApi,get_user_group,GET,/rest/v2/userGroups/{user_group_id},Retrieve a User Group,no,,
UserGroupsApi,list_user_groups,GET,/rest/v2/userGroups,List User Groups,no,,
UsersApi,get_user_by_id,GET,/rest/v2/users/{user_id},Get User,no,,
UsersApi,get_user_info,GET,/rest/v2/oauth/connect/userinfo,Retrieve User Info,no,,
UsersApi,get_user_signature,GET,/rest/v2/users/{user_id}/signature,Get User email signature,no,,
UsersApi,list_paginated_users,GET,/rest/v2/users,List Users,no,,
WebformsApi,get_html,GET,/rest/v2/webforms/{webform_id}:data,Get Webform HTML,no,,
WebformsApi,list_webforms,GET,/rest/v2/webforms,List Webforms with filter,no,,
